"country_name","country_code","continent"
"Afghanistan","AFG","Asia"
"Albania","ALB","Europe"
"Algeria","DZA","Africa"
"American Samoa","ASM","Oceania"
"Andorra","AND","Europe"
"Angola","AGO","Africa"
"Anguilla","AIA","Americas"
"Antarctica","ATA","Antarctica"
"Antigua and Barbuda","ATG","Americas"
"Argentina","ARG","Americas"
"Armenia","ARM","Asia"
"Aruba","ABW","Americas"
"Australia","AUS","Oceania"
"Austria","AUT","Europe"
"Azerbaijan","AZE","Asia"
"Bahamas (the)","BHS","Americas"
"Bahrain","BHR","Asia"
"Bangladesh","BGD","Asia"
"Barbados","BRB","Americas"
"Belarus","BLR","Europe"
"Belgium","BEL","Europe"
"Belize","BLZ","Americas"
"Benin","BEN","Africa"
"Bermuda","BMU","Americas"
"Bhutan","BTN","Asia"
"Bolivia (Plurinational State of)","BOL","Americas"
"Bosnia and Herzegovina","BIH","Europe"
"Botswana","BWA","Africa"
"Brazil","BRA","Americas"
"Virgin Islands (British)","VGB","Americas"
"Brunei Darussalam","BRN","Asia"
"Bulgaria","BGR","Europe"
"Burkina Faso","BFA","Africa"
"Burundi","BDI","Africa"
"Cambodia","KHM","Asia"
"Cameroon","CMR","Africa"
"Canada","CAN","Americas"
"Cabo Verde","CPV","Africa"
"Bonaire, Sint Eustatius and Saba","BES","Americas"
"Cayman Islands (the)","CYM","Americas"
"Central African Republic (the)","CAF","Africa"
"Chad","TCD","Africa"
"Chile","CHL","Americas"
"China","CHN","Asia"
"Christmas Island","CXR","Oceania"
"Colombia","COL","Americas"
"Comoros (the)","COM","Africa"
"Congo (the)","COG","Africa"
"Congo (the Democratic Republic of the)","COD","Africa"
"Cook Islands (the)","COK","Oceania"
"Costa Rica","CRI","Americas"
"Croatia","HRV","Europe"
"Cuba","CUB","Americas"
"Curaçao","CUW","Americas"
"Cyprus","CYP","Asia"
"Czechia","CZE","Europe"
"Côte d'Ivoire","CIV","Africa"
"Denmark","DNK","Europe"
"Djibouti","DJI","Africa"
"Dominica","DMA","Americas"
"Dominican Republic (the)","DOM","Americas"
"Ecuador","ECU","Americas"
"Egypt","EGY","Africa"
"El Salvador","SLV","Americas"
"Equatorial Guinea","GNQ","Africa"
"Eritrea","ERI","Africa"
"Estonia","EST","Europe"
"Eswatini","SWZ","Africa"
"Ethiopia","ETH","Africa"
"Falkland Islands (the) [Malvinas]","FLK","Americas"
"Faroe Islands (the)","FRO","Europe"
"Fiji","FJI","Oceania"
"Finland","FIN","Europe"
"France","FRA","Europe"
"French Guiana","GUF","Americas"
"French Polynesia","PYF","Oceania"
"Gabon","GAB","Africa"
"Gambia (the)","GMB","Africa"
"Georgia","GEO","Asia"
"Germany","DEU","Europe"
"Ghana","GHA","Africa"
"Gibraltar","GIB","Europe"
"Greece","GRC","Europe"
"Greenland","GRL","Americas"
"Grenada","GRD","Americas"
"Guadeloupe","GLP","Americas"
"Guam","GUM","Oceania"
"Guatemala","GTM","Americas"
"Guernsey","GGY","Europe"
"Guinea","GIN","Africa"
"Guinea-Bissau","GNB","Africa"
"Guyana","GUY","Americas"
"Haiti","HTI","Americas"
"Honduras","HND","Americas"
"Hong Kong","HKG","Asia"
"Hungary","HUN","Europe"
"Iceland","ISL","Europe"
"India","IND","Asia"
"Indonesia","IDN","Asia"
"Iran (Islamic Republic of)","IRN","Asia"
"Iraq","IRQ","Asia"
"Ireland","IRL","Europe"
"Isle of Man","IMN","Europe"
"Israel","ISR","Asia"
"Italy","ITA","Europe"
"Jamaica","JAM","Americas"
"Japan","JPN","Asia"
"Jersey","JEY","Europe"
"Jordan","JOR","Asia"
"Kazakhstan","KAZ","Asia"
"Kenya","KEN","Africa"
"Kiribati","KIR","Oceania"
"Kuwait","KWT","Asia"
"Kyrgyzstan","KGZ","Asia"
"Lao People's Democratic Republic (the)","LAO","Asia"
"Latvia","LVA","Europe"
"Lebanon","LBN","Asia"
"Lesotho","LSO","Africa"
"Liberia","LBR","Africa"
"Libya","LBY","Africa"
"Liechtenstein","LIE","Europe"
"Lithuania","LTU","Europe"
"Luxembourg","LUX","Europe"
"Macao","MAC","Asia"
"Madagascar","MDG","Africa"
"Malawi","MWI","Africa"
"Malaysia","MYS","Asia"
"Maldives","MDV","Asia"
"Mali","MLI","Africa"
"Malta","MLT","Europe"
"Marshall Islands (the)","MHL","Oceania"
"Martinique","MTQ","Americas"
"Mauritania","MRT","Africa"
"Mauritius","MUS","Africa"
"Mayotte","MYT","Africa"
"Mexico","MEX","Americas"
"Micronesia (Federated States of)","FSM","Oceania"
"Moldova (the Republic of)","MDA","Europe"
"Monaco","MCO","Europe"
"Mongolia","MNG","Asia"
"Montenegro","MNE","Europe"
"Montserrat","MSR","Americas"
"Morocco","MAR","Africa"
"Mozambique","MOZ","Africa"
"Myanmar","MMR","Asia"
"Namibia","NAM","Africa"
"Nauru","NRU","Oceania"
"Nepal","NPL","Asia"
"Netherlands (the)","NLD","Europe"
"New Caledonia","NCL","Oceania"
"New Zealand","NZL","Oceania"
"Nicaragua","NIC","Americas"
"Niger (the)","NER","Africa"
"Nigeria","NGA","Africa"
"Niue","NIU","Oceania"
"Norfolk Island","NFK","Oceania"
"Korea (the Democratic People's Republic of)","PRK","Asia"
"North Macedonia","MKD","Europe"
"Northern Mariana Islands (the)","MNP","Oceania"
"Norway","NOR","Europe"
"Oman","OMN","Asia"
"Pakistan","PAK","Asia"
"Palau","PLW","Oceania"
"Palestine, State of","PSE","Asia"
"Panama","PAN","Americas"
"Papua New Guinea","PNG","Oceania"
"Paraguay","PRY","Americas"
"Peru","PER","Americas"
"Philippines (the)","PHL","Asia"
"Pitcairn","PCN","Oceania"
"Poland","POL","Europe"
"Portugal","PRT","Europe"
"Puerto Rico","PRI","Americas"
"Qatar","QAT","Asia"
"Romania","ROU","Europe"
"Russian Federation (the)","RUS","Europe"
"Rwanda","RWA","Africa"
"Réunion","REU","Africa"
"Saint Martin (French part)","MAF","Americas"
"Samoa","WSM","Oceania"
"San Marino","SMR","Europe"
"Saudi Arabia","SAU","Asia"
"Senegal","SEN","Africa"
"Serbia","SRB","Europe"
"Seychelles","SYC","Africa"
"Sierra Leone","SLE","Africa"
"Singapore","SGP","Asia"
"Sint Maarten (Dutch part)","SXM","Americas"
"Slovakia","SVK","Europe"
"Slovenia","SVN","Europe"
"Solomon Islands","SLB","Oceania"
"Somalia","SOM","Africa"
"South Africa","ZAF","Africa"
"Korea (the Republic of)","KOR","Asia"
"South Sudan","SSD","Africa"
"Spain","ESP","Europe"
"Sri Lanka","LKA","Asia"
"Saint Barthélemy","BLM","Americas"
"Saint Helena, Ascension and Tristan da Cunha","SHN","Africa"
"Saint Kitts and Nevis","KNA","Americas"
"Saint Lucia","LCA","Americas"
"Saint Pierre and Miquelon","SPM","Americas"
"Saint Vincent and the Grenadines","VCT","Americas"
"Sudan (the)","SDN","Africa"
"Suriname","SUR","Americas"
"Svalbard and Jan Mayen","SJM","Europe"
"Sweden","SWE","Europe"
"Switzerland","CHE","Europe"
"Syrian Arab Republic (the)","SYR","Asia"
"Sao Tome and Principe","STP","Africa"
"Taiwan (Province of China)","TWN","Asia"
"Tajikistan","TJK","Asia"
"Tanzania, the United Republic of","TZA","Africa"
"Thailand","THA","Asia"
"Timor-Leste","TLS","Asia"
"Togo","TGO","Africa"
"Tokelau","TKL","Oceania"
"Tonga","TON","Oceania"
"Trinidad and Tobago","TTO","Americas"
"Tunisia","TUN","Africa"
"Turkey","TUR","Asia"
"Turkmenistan","TKM","Asia"
"Turks and Caicos Islands (the)","TCA","Americas"
"Tuvalu","TUV","Oceania"
"Virgin Islands (U.S.)","VIR","Americas"
"Uganda","UGA","Africa"
"Ukraine","UKR","Europe"
"United Arab Emirates (the)","ARE","Asia"
"United Kingdom","GBR","Europe"
"United States of America (the)","USA","Americas"
"Uruguay","URY","Americas"
"Uzbekistan","UZB","Asia"
"Vanuatu","VUT","Oceania"
"Holy See (the)","VAT","Europe"
"Venezuela (Bolivarian Republic of)","VEN","Americas"
"Viet Nam","VNM","Asia"
"Wallis and Futuna","WLF","Oceania"
"Western Sahara","ESH","Africa"
"Yemen","YEM","Asia"
"Zambia","ZMB","Africa"
"Zimbabwe","ZWE","Africa"
"Åland Islands","ALA","Europe"
